 Service Location - ID, Service Location - Description, Service Location - Address Line 1, Service Location - City, Service Location - Postal Code, Service Location - State, Latitude, Longitude
1071603,2M - Yardhouse (Sacramento/K),405 K St Ste 100,Sacramento,95814,CA,38.581758,-121.501786
1017419,Wildwood Kitchen & Bar (Sacramento/Pavilions Lane),556 Pavilions Lane,Sacramento,95825,CA,38.574995,-121.410058
1053597,Hop Junction (Elk Grove/Greenhaven),7600 Greenhaven Dr Ste 20,Elk Grove,95831,CA,38.48114,-121.51801
11927,Buck and Sadie's (Roseville/Douglas),2030 Douglas Blvd,Roseville,95661,CA,38.74296,-121.25134
1017257,Palladio 16 Cinemas (Folsom/Palladio Parkway),240 Palladio Parkway,Folsom,95630,CA,38.647714,-121.120087
1017258,Palladio Luxe Cinema (Folsom/Palladio Parkway),400 Palladio Parkway,Folsom,95630,CA,38.649713,-121.122126
1550,33rd Street Bistro (Sacramento/Folsom),3301 Folsom Blvd,Sacramento,95816,CA,38.56757,-121.464
1027262,State Theatre And Multiplex (Woodland/Main St),332 Main Street,Woodland,95695,CA,38.677443,-121.777571
1959,2M - Buffalo Wild Wings (Sacramento/N Freeway),3600 N Freeway Blvd,Sacramento,95834,CA,38.639421,-121.497976
1959,2M - Buffalo Wild Wings (Sacramento/N Freeway),3600 N Freeway Blvd,Sacramento,95834,CA,38.639421,-121.497976
3668,Cal Expo (Racetrack) (Sacramento/Exposition),1600 Exposition Blvd,Sacramento,95815,CA,38.59257,-121.43134
1017419,Wildwood Kitchen & Bar (Sacramento/Pavilions Lane),556 Pavilions Lane,Sacramento,95825,CA,38.574995,-121.410058
1033701,2M - Buffalo Wild Wings (Sacramento/Arden),2023 Arden Way,Sacramento,95825,CA,38.596285,-121.418936
1033701,2M - Buffalo Wild Wings (Sacramento/Arden),2023 Arden Way,Sacramento,95825,CA,38.596285,-121.418936
2936,Joes Crab Shack (Sacramento/Front),1210 Front St,Sacramento,95814,CA,38.58115,-121.50694
1017306,Back Door Lounge (Sacramento/Firehouse),1112 Firehouse Alley,Sacramento,95814,CA,38.583966,-121.504577
1017365,Luis Jr's Mexican Food (Sacramento/2Nd),900 2Nd Street,Sacramento,95814,CA,38.58413,-121.50393
3999,Rio City Cafe (Sacramento/Front),1110 Front St,Sacramento,95814,CA,38.58188,-121.50673
1017321,Cilantros Mexican Restaurant (Sacramento/J),705 J Street,Sacramento,95814,CA,38.5812,-121.49719
3107,Laughs Unlimited (Sacramento/Front),1207 Front St,Sacramento,95814,CA,38.58104,-121.50622
4055,Round Table (Auburn/Elm),370 Elm Ave,Auburn,95603,CA,38.90542,-121.07241
1033090,Beach Hut Deli (Penryn/Taylor),2210 Taylor Road F,Penryn,95663,CA,38.85139,-121.16512
4773,Valencia Club (Penryn/Taylor),2162 Taylor Rd,Penryn,95663,CA,38.85168,-121.16429
2132,Champs (New Castle/Taylor),255 Taylor Rd,Newcastle,95658,CA,38.87761,-121.13127
4981,Newcastle Pizzeria (Newcastle/Main),505 Main Street,Newcastle,95658,CA,38.87394,-121.13339
4455,Meridian Restaurant (Lincoln/Orchard Creek),965 Orchard Creek Ln,Lincoln,95648,CA,38.86868,-121.27649
6388,Sterling Cafe (Lincoln/Sterling Pkwy),820 Sterling Pkwy Ste 10,Lincoln,95648,CA,38.871199,-121.29634
1088891,El Portal Taqueria (Lincoln/Lincoln),149 Lincoln Blvd,Lincoln,95648,CA,38.887147,-121.292743
1973,Buonarroti Ristorante (Lincoln/G),460 G Si,Lincoln,95648,CA,38.89141,-121.293168
2376,Dillians Bar & Grill (Lincoln/6th),605 6th St,Lincoln,95648,CA,38.893072,-121.2917
1098590,La Villa Cocina Mexicana (Lincoln/Joiner),155 Joiner Pkwy,Lincoln,95648,CA,38.88747,-121.31246
3562,Lincoln Pizza (Lincoln/Joiner),155 Joiner Pkwy,Lincoln,95648,CA,38.88747,-121.31246
3020,Kobe Teppanyaki (Lincoln/Ferrari Ranch),131 Ferrari Ranch Rd,Lincoln,95648,CA,38.873258,-121.30409
4373,Bennetts Kitchen Bar Market (Roseville/Eureka),1595 Eureka Rd,Roseville,95678,CA,38.75809,-121.26331
3726,Paul Martins American Bistro (Roseville/Eureka),1455 Eureka Rd,Roseville,95661,CA,38.754,-121.25238
2171,Chicago Fire (Roseville/N Sunrise),500 N Sunrise Ave,Roseville,95661,CA,38.75631,-121.25531
2945,Johns Incredible Pizza Company (Roseville/N Sunrise),384 N Sunrise Ave,Roseville,95661,CA,38.75521,-121.25777
4719,Trademark Pizza (Roseville/Eureka),1485 Eureka Rd,Roseville,95661,CA,38.75313,-121.25146
3535,My Thai Kitchen (Roseville/Eureka Rd),1465 Eureka Rd,Roseville,95661,CA,38.75363,-121.25208
4823,Wasabi 3 (Roseville/Eureka),1470 Eureka Rd,Roseville,95661,CA,38.75189,-121.25273
4233,Scoreboard Pizza (Roseville/Sierra College),9260 Sierra College Blvd,Roseville,95661,CA,38.73044,-121.22764
2622,Sullys (Rocklin/Pacific),4451 Pacific St,Rocklin,95677,CA,38.80051,-121.22438
1026365,Blast & Brew (Rocklin/Commons),5198 Commons Drive,Rocklin,95677,CA,38.804991,-121.205714
15554,The Dive (Rocklin/Rocklin),5050 Rocklin Rd A11,Rocklin,95677,CA,38.78811,-121.207751
1869,Blue Nami (Roseville/Eureka),1465 Eureka Road 120,Roseville,95661,CA,38.753667,-121.251833
3053,La Huaca (Roseville/Sierra College),9213 Sierra College Blvd,Roseville,95661,CA,38.73578,-121.22536
